Art. Nr.	Beschreibung	Lieferant (Haupt)	Neue LP
101	Gouda jung Frico	Privat	01-01
102	Gouda jung Campina	Privat	01-01
103	Gouda HB pikant/mittelalt	Privat	VB
104	Parrano	Privat	VB
105	Frühlingsgouda	Privat	SAISON
106	Gouda 3 J. Broeckel	Privat	VB
108	Landana Ziege Trüffel	Privat	VB
109	Gouda Überjährig	Privat	VB
110	Edamer Brot Rot	Privat	03-02
111	Gouda Huizer Kaas Natur	Privat	VB
113	Natria	Privat	
115	Gouda Pfeffer	Privat	VB
116	Landana Grüner Spargel	Privat	VB
117	Gouda mit Bärlauch	Privat	VB
118	Gouda mit Olive - Tomate	Privat	02-01
119	Ziegengouda Lavendel	Privat	VB
120	Landana Schaf Trüffel	Privat	VB
121	Gouda mit Chili Sambal/Paprika	Privat	VB
124	Ziegengouda Bockshornklee	Privat	VB
125	Foliengouda	Privat	VB
126	Leerdammer Caractère	Privat	01-02
127	Leerdammer	Privat	01-01
128	Kernhem ca. 2,8kg	Privat	VB
129	Gouda mit Brennessel	Privat	VB
131	Landana Mild	Privat	VB
132	Cantenaar Schwarz 1/2 Laib	Privat	VB
133	Rechteck - Block jung	Privat	VB
134	Leerdammer light 	Privat	01-02
135	Slanke Anke	Privat	VB
137	Gouda mit Kümmel	Privat	02-01
138	Gouda Kräuter	Privat	VB
139	Landana Knoblauch	Privat	VB
140	Gouda gerieben 2 x 5kg	Privat	VB
141	Gouda Scheiben 0,5kg 30g	Privat	04-01
142	Beemster Knoblauch 	Privat	01-02
144	Beemster Graskaas	Privat	VB
145	Mai Gouda	Privat	SAISON
146	Beemster Kreuzkümmel	Privat	VB
147	Beemster Senf	Privat	01-01
148	Gouda jung Nord - Holland	Privat	02-01
149	Gouda pikant Nord - Holland	Privat	02-01
150	Gouda alt Nord - Holland	Privat	VB
151	Beemster Old	Privat	01-01
152	Beemster Pikant	Privat	01-03
154	Beemster Mild	Privat	01-03
155	Prima Donna Fino	Privat	VB
156	Prima Donna Leggero	Privat	VB
157	Gouda mit Walnüssen	Privat	02-01
158	Kronen Gouda Natur	Privat	02-01
159	Pikantje van Antje	Privat	01-01
160	Beemster Pfeffer	Privat	VB
161	Gouda NH 3 Jahre	Privat	VB
162	Westlite mild	Privat	01-02
163	Westlite Pikant	Privat	VB
164	Beemster Oranje Beemsdammer	Privat	01-01
165	Beemster Jalapeneo	Privat	01-02
166	Gouda mit Senfkörnern	Privat	VB
167	Beemster Bockshornklee	Privat	01-02
168	Beemster Brennnessel	Privat	01-02
170	Beemster Chili	Privat	01-02
171	Gouda Laib Jung	Privat	VB
172	Beemster Ital. Kräuter	Privat	VB
174	Edamer Scheiben	Privat	VB
175	Elbländer Scheiben Bärlauch	Privat	VB
176	Old Amsterdam	Privat	01-02
177	Old White Ziege	Privat	VB
178	Nazareth light, halbe Laibe	Privat	VB
179	Gouwenaar Light pikant BLAU	Privat	VB
180	Gouwenaar light mild ROT	Privat	VB
181	Passendale Brot Lang	Privat	01-03
182	Passendale Laibe Rund	Privat	01-03
184	Père Josef	Privat	03-02
185	Père Josef light	Privat	VB
187	Nazareth halbe Laibe 45%	Privat	VB
188	Corsendonk	Privat	VB
191	Gouda Schafmilch	Privat	VB
192	Cheese Pop	Privat	06-03
195	Abdijkaas 45%	Privat	VB
197	Le Petit Doruvael	Privat	VB
201	Dän. Havarti Tilsiter	Privat	03-03
202	Dän. Havarti geschmiert	Privat	VB
203	Esrom Elbodal	Privat	VB
205	Havarti Mexicana	Privat	VB
206	Havarti pikant	Privat	VB
207	Dän. Esrom	Privat	03-03
208	Bergblumenkäse	Privat	VB
209	Danablu	Privat	VB
210	Leuchtturm Bio	Privat	VB
212	Dofino Dill Rolle	Privat	VB
214	Dofino Natur Rolle	Privat	VB
216	Dofino Schnittlauch Rolle	Privat	VB
221	Dän. Höhlenkäse	Privat	03-02
223	Alter Mommark	Privat	VB
230	Apetina gewürfelt 1,6 kg	Privat	VB
294	Gudbrandsdalen 250 g	Privat	VB
295	Gudbrandsdalen 1 kg	Privat	03-03
296	Gutshofkäse, Schweden	Privat	03-03
301	Emmentaler Lb.	Privat	VB
303	Emmentaler King ca.2,5kg	Privat	01-02
304	Emmentaler Super Cut ca. 4kg	Privat	05-01
305	Appenzeller extra würzig (schwarz)	Privat	01-02
306	Appenzeller, original (silber)	Privat	01-02
307	Appenzeller kräftig würzig (gold)	Privat	01-02
308	Appenzeller edelwürzig (rosa)	Privat	01-02
309	Gruyère King 	Privat	01-03
310	Schw. Raclette, Alt Senn, Rund	Privat	SAISON
311	Schweizer Raclette Carree	Privat	SAISON
312	Sbrinz	Privat	VB
313	Appenzellerin Elegant	Privat	01-02
314	Küssnachter	Privat	VB
315	Emmentaler 1/8 Laib	Privat	VB
316	Thurkäse	Privat	VB
318	Gruyère, höhlengereift	Privat	01-03
319	Gruyere Lb. 5 Mon.	Privat	VB
320	Käsefondue Tiger 12x400g	Privat	01-03
321	Tête de Moine	Privat	01-02
322	Freiburger	Privat	01-02
323	Luzerner	Privat	VB
324	Simmentaler Hartkäse 10 Mon.	Privat	VB
325	Hornkuhkäse	Privat	VB
326	Fiore Delle Alpi 1/8Lb.	Privat	01-03 Sonderware
327	Heidi Alp	Privat	VB
328	Swizzrocker	Privat	VB
330	Sankt Galler Klosterkäse	Privat	01-01
331	Kellerrahmkäse 16 Mon.	Privat	VB
332	Schweizer Raclette Rund	Privat	SAISON
333	Gruyere Alpage Vieux Meule	Privat	Sonderware
334	Heidilandkäse 3 Monate	Privat	VB
335	Heidiland Würzig 5 Monate	Privat	VB
336	Schabziger	Privat	VB
337	Gruyere Alpage 1/8 Laib	Privat	VB
338	Urchrüter Chas 4kg	Privat	VB
348	Fricalin	Privat	VB
349	Sterntaler	Privat	VB
350	Toggenburger Chueli	Privat	VB
359	Gewitterkäse	Privat	01-03
364	Tête de Moine 1/2 Lb.	Privat	VB
365	Etivaz 1/1 Laib	Privat	VB
366	Appenzeller Rahmkäse	Privat	01-03
367	Appenzeller ¼ - Stück	Privat	01-02
368	Chällerhocker	Privat	01-01
369	Weintraubenkäse Mont	Privat	VB
370	Roter Stier	Privat	VB
371	Urige Sennerin	Privat	
372	Le Marechal	Privat	VB
374	Wildbachkäse	Privat	VB
376	Scharfer Maxx	Privat	01-02
377	Urtyroler	Privat	VB
378	Lenggenwiler	Privat	VB
379	Scharfe Anna	Privat	VB
380	Sennerkäse 12 Mon.	Privat	VB
381	Anton 1/2	Privat	VB
382	Schön. Pfeffer	Privat	VB
383	Schönegrunder mild	Privat	VB
384	Der Kleine Senn	Privat	VB
385	Kristallkäse 24 Mon.	Privat	VB
386	Frecher Maxx	Privat	VB
398	Girolle Haube	Privat	VB
399	Girolle-Schaber mit Haube	Privat	VB
405	Buko 200g Aufsteller 240er	Privat	VB
406	Buko Chef 3kg Eimer	Privat	03-02
407	Buko, leicht 1,5kg Eimer	Privat	04-01
408	Buko 200 g natur	Privat	Sonderware
409	Buko 200g leicht	Privat	VB
412	Buko Ziege 10x200 gr.	Privat	VB
413	Buko Der Sahnige 20g Port.	Privat	01-01-H
415	Frischkäse 6-Fach Sort. 20g Port.	Privat	01-01-H
416	Buko 200g Pik. Kr. Balance	Privat	VB
431	Buko 4 x 1,5kg Kräuter	Privat	VB
432	Buko 4 x 1,5kg Laktosefrei	Privat	VB
433	Buko Ananas 10x200g	Privat	VB
470	Buko 200gr Aufsteller 480er	Privat	VB
502	Mueller Thurgau recent	Privat	VB
503	Mueller Thurgau grün (würzig)	Privat	VB
504	Alte Hexe	Privat	VB
505	Rote Hexe	Privat	01-01
506	Schön. Nussknacker	Privat	VB
508	König Ludwig Königskäse	Privat	VB
509	König Ludwig Bierkäse	Privat	VB
514	Chili Rebel	Privat	VB
519	Bio Holodri	Privat	VB
